"","true","estimated","tissue_spiked","spike_color"
"sample_329",0.05,0.260829187080065,"adipocyte",TRUE
"sample_330",0.05,0,"adipocyte",TRUE
"sample_331",0.05,0.246926462412855,"adipocyte",TRUE
"sample_332",0.05,0,"adipocyte",TRUE
"sample_333",0.05,0.230983265051744,"adipocyte",TRUE
"sample_334",0.05,0.101389522468413,"adipocyte",TRUE
"sample_335",0.05,0,"adipocyte",TRUE
"sample_336",0.05,0.0820562639640688,"adipocyte",TRUE
"sample_337",0.05,0.187692029641926,"adipocyte",TRUE
"sample_338",0.05,0.0424915427654738,"adipocyte",TRUE
"sample_339",0.05,0.171888595486844,"adipocyte",TRUE
"sample_340",0.05,0,"adipocyte",TRUE
"sample_341",0.05,0.119110246787628,"adipocyte",TRUE
"sample_342",0.05,0,"adipocyte",TRUE
"sample_343",0.05,0.108563517380225,"adipocyte",TRUE
"sample_344",0.05,0,"adipocyte",TRUE
"sample_345",0.05,0.0143699149122839,"adipocyte",TRUE
"sample_346",0.05,0,"adipocyte",TRUE
"sample_347",0.05,0,"adipocyte",TRUE
"sample_348",0.05,0.015257035247606,"adipocyte",TRUE
"sample_349",0.05,0,"adipocyte",TRUE
"sample_350",0.05,0,"adipocyte",TRUE
"sample_351",0.05,0,"adipocyte",TRUE
"sample_352",0.05,0.223576405028177,"adipocyte",TRUE
"sample_353",0.05,0.182533889518462,"adipocyte",TRUE
"sample_354",0.05,0.198165207144729,"adipocyte",TRUE
"sample_355",0.05,0,"adipocyte",TRUE
"sample_356",0.05,0.0760931647531436,"adipocyte",TRUE
"sample_357",0.05,0,"adipocyte",TRUE
"sample_358",0.05,0,"adipocyte",TRUE
"sample_359",0.05,0.0582404634636077,"adipocyte",TRUE
"sample_360",0.05,0,"adipocyte",TRUE
"sample_361",0.05,0.0133519218460113,"adipocyte",TRUE
"sample_362",0.05,0.128069558068949,"adipocyte",TRUE
"sample_363",0.05,0.0764183894652532,"adipocyte",TRUE
"sample_364",0.05,0.00525748651481485,"adipocyte",TRUE
"sample_365",0.05,0.0400882841637858,"adipocyte",TRUE
"sample_366",0.05,0.126633220397693,"adipocyte",TRUE
"sample_367",0.05,0.152150813897581,"adipocyte",TRUE
"sample_368",0.05,0.132284855532005,"adipocyte",TRUE
"sample_369",0.05,0,"adipocyte",TRUE
"sample_370",0.05,0.140904850522282,"adipocyte",TRUE
"sample_371",0.05,0,"adipocyte",TRUE
"sample_372",0.05,0.130788125369346,"adipocyte",TRUE
"sample_373",0.05,0,"adipocyte",TRUE
"sample_374",0.05,0.120440236684061,"adipocyte",TRUE
"sample_375",0.05,0,"adipocyte",TRUE
"sample_376",0.05,0.140173833914955,"adipocyte",TRUE
"sample_377",0.05,0,"adipocyte",TRUE
"sample_378",0.05,0,"adipocyte",TRUE
"sample_379",0.05,0.122555685728823,"adipocyte",TRUE
"sample_380",0.05,0.139334010804085,"adipocyte",TRUE
"sample_381",0.05,0.0327906359139104,"adipocyte",TRUE
"sample_382",0.05,0,"adipocyte",TRUE
"sample_383",0.05,0,"adipocyte",TRUE
"sample_384",0.05,0,"adipocyte",TRUE
"sample_385",0.05,0.0871419988908815,"adipocyte",TRUE
"sample_386",0.05,0.195176958479934,"adipocyte",TRUE
"sample_387",0.05,0.1004988851196,"adipocyte",TRUE
"sample_388",0.05,0.23347317934702,"adipocyte",TRUE
"sample_389",0.05,0,"adipocyte",TRUE
"sample_390",0.05,0,"adipocyte",TRUE
"sample_391",0.05,0.0326694981161837,"adipocyte",TRUE
"sample_392",0.05,0,"adipocyte",TRUE
"sample_393",0.05,0.0899279482455662,"adipocyte",TRUE
"sample_394",0.05,0.193115240294192,"adipocyte",TRUE
"sample_395",0.05,0,"adipocyte",TRUE
"sample_396",0.05,0.0717875448458938,"adipocyte",TRUE
"sample_397",0.05,0.26221810588064,"adipocyte",TRUE
"sample_398",0.05,0,"adipocyte",TRUE
"sample_399",0.05,0.0688738402718199,"adipocyte",TRUE
"sample_400",0.05,0.0233817980729061,"adipocyte",TRUE
"sample_401",0.1,0.0369681517260546,"adipocyte",TRUE
"sample_402",0.1,0,"adipocyte",TRUE
"sample_403",0.1,0.00939795134936485,"adipocyte",TRUE
"sample_404",0.1,0.0135599574761367,"adipocyte",TRUE
"sample_405",0.1,0,"adipocyte",TRUE
"sample_406",0.1,0.0957499097228337,"adipocyte",TRUE
