"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MIMAT0019822","hsa-miR-4714-5p;","hsa_miR_4714_5p;","hsa_miR_4714_5p","hsa_miR_4714_5p"
"MIMAT0019823","hsa-miR-4714-3p;","hsa_miR_4714_3p;","hsa_miR_4714_3p","hsa_miR_4714_3p"
"MIMAT0019824","hsa-miR-4715-5p;","hsa_miR_4715_5p;","hsa_miR_4715_5p","hsa_miR_4715_5p"
"MIMAT0019825","hsa-miR-4715-3p;","hsa_miR_4715_3p;","hsa_miR_4715_3p","hsa_miR_4715_3p"
"MIMAT0019826","hsa-miR-4716-5p;","hsa_miR_4716_5p;","hsa_miR_4716_5p","hsa_miR_4716_5p"
"MIMAT0019827","hsa-miR-4716-3p;","hsa_miR_4716_3p;","hsa_miR_4716_3p","hsa_miR_4716_3p"
"MIMAT0019828","hsa-miR-3529;hsa-miR-3529-5p;","hsa_miR_3529;hsa_miR_3529_5p;","hsa_miR_3529_5p","hsa_miR_3529"
"MIMAT0019829","hsa-miR-4717-5p;","hsa_miR_4717_5p;","hsa_miR_4717_5p","hsa_miR_4717_5p"
"MIMAT0019830","hsa-miR-4717-3p;","hsa_miR_4717_3p;","hsa_miR_4717_3p","hsa_miR_4717_3p"
"MIMAT0019831","hsa-miR-4718;","hsa_miR_4718;","hsa_miR_4718","hsa_miR_4718"
"MIMAT0019832","hsa-miR-4719;","hsa_miR_4719;","hsa_miR_4719","hsa_miR_4719"
"MIMAT0019833","hsa-miR-4720-5p;","hsa_miR_4720_5p;","hsa_miR_4720_5p","hsa_miR_4720_5p"
"MIMAT0019834","hsa-miR-4720-3p;","hsa_miR_4720_3p;","hsa_miR_4720_3p","hsa_miR_4720_3p"
"MIMAT0019835","hsa-miR-4721;","hsa_miR_4721;","hsa_miR_4721","hsa_miR_4721"
"MIMAT0019836","hsa-miR-4722-5p;","hsa_miR_4722_5p;","hsa_miR_4722_5p","hsa_miR_4722_5p"
"MIMAT0019837","hsa-miR-4722-3p;","hsa_miR_4722_3p;","hsa_miR_4722_3p","hsa_miR_4722_3p"
"MIMAT0019838","hsa-miR-4723-5p;","hsa_miR_4723_5p;","hsa_miR_4723_5p","hsa_miR_4723_5p"
"MIMAT0019839","hsa-miR-4723-3p;","hsa_miR_4723_3p;","hsa_miR_4723_3p","hsa_miR_4723_3p"
"MIMAT0019840","hsa-miR-451b;","hsa_miR_451b;","hsa_miR_451b","hsa_miR_451b"
"MIMAT0019841","hsa-miR-4724-5p;","hsa_miR_4724_5p;","hsa_miR_4724_5p","hsa_miR_4724_5p"
"MIMAT0019842","hsa-miR-4724-3p;","hsa_miR_4724_3p;","hsa_miR_4724_3p","hsa_miR_4724_3p"
"MIMAT0019843","hsa-miR-4725-5p;","hsa_miR_4725_5p;","hsa_miR_4725_5p","hsa_miR_4725_5p"
"MIMAT0019844","hsa-miR-4725-3p;","hsa_miR_4725_3p;","hsa_miR_4725_3p","hsa_miR_4725_3p"
"MIMAT0019845","hsa-miR-4726-5p;","hsa_miR_4726_5p;","hsa_miR_4726_5p","hsa_miR_4726_5p"
"MIMAT0019846","hsa-miR-4726-3p;","hsa_miR_4726_3p;","hsa_miR_4726_3p","hsa_miR_4726_3p"
"MIMAT0019847","hsa-miR-4727-5p;","hsa_miR_4727_5p;","hsa_miR_4727_5p","hsa_miR_4727_5p"
"MIMAT0019848","hsa-miR-4727-3p;","hsa_miR_4727_3p;","hsa_miR_4727_3p","hsa_miR_4727_3p"
"MIMAT0019849","hsa-miR-4728-5p;","hsa_miR_4728_5p;","hsa_miR_4728_5p","hsa_miR_4728_5p"
"MIMAT0019850","hsa-miR-4728-3p;","hsa_miR_4728_3p;","hsa_miR_4728_3p","hsa_miR_4728_3p"
"MIMAT0019851","hsa-miR-4729;","hsa_miR_4729;","hsa_miR_4729","hsa_miR_4729"
"MIMAT0019852","hsa-miR-4730;","hsa_miR_4730;","hsa_miR_4730","hsa_miR_4730"
"MIMAT0019853","hsa-miR-4731-5p;","hsa_miR_4731_5p;","hsa_miR_4731_5p","hsa_miR_4731_5p"
"MIMAT0019854","hsa-miR-4731-3p;","hsa_miR_4731_3p;","hsa_miR_4731_3p","hsa_miR_4731_3p"
"MIMAT0019855","hsa-miR-4732-5p;","hsa_miR_4732_5p;","hsa_miR_4732_5p","hsa_miR_4732_5p"
"MIMAT0019856","hsa-miR-4732-3p;","hsa_miR_4732_3p;","hsa_miR_4732_3p","hsa_miR_4732_3p"
"MIMAT0019857","hsa-miR-4733-5p;","hsa_miR_4733_5p;","hsa_miR_4733_5p","hsa_miR_4733_5p"
"MIMAT0019858","hsa-miR-4733-3p;","hsa_miR_4733_3p;","hsa_miR_4733_3p","hsa_miR_4733_3p"
"MIMAT0019859","hsa-miR-4734;","hsa_miR_4734;","hsa_miR_4734","hsa_miR_4734"
"MIMAT0019860","hsa-miR-4735-5p;","hsa_miR_4735_5p;","hsa_miR_4735_5p","hsa_miR_4735_5p"
"MIMAT0019861","hsa-miR-4735-3p;","hsa_miR_4735_3p;","hsa_miR_4735_3p","hsa_miR_4735_3p"
"MIMAT0019862","hsa-miR-4736;","hsa_miR_4736;","hsa_miR_4736","hsa_miR_4736"
"MIMAT0019863","hsa-miR-4737;","hsa_miR_4737;","hsa_miR_4737","hsa_miR_4737"
"MIMAT0019864","hsa-miR-3064-5p;","hsa_miR_3064_5p;","hsa_miR_3064_5p","hsa_miR_3064_5p"
"MIMAT0019865","hsa-miR-3064-3p;","hsa_miR_3064_3p;","hsa_miR_3064_3p","hsa_miR_3064_3p"
"MIMAT0019866","hsa-miR-4738-5p;","hsa_miR_4738_5p;","hsa_miR_4738_5p","hsa_miR_4738_5p"
"MIMAT0019867","hsa-miR-4738-3p;","hsa_miR_4738_3p;","hsa_miR_4738_3p","hsa_miR_4738_3p"
"MIMAT0019868","hsa-miR-4739;","hsa_miR_4739;","hsa_miR_4739","hsa_miR_4739"
"MIMAT0019869","hsa-miR-4740-5p;","hsa_miR_4740_5p;","hsa_miR_4740_5p","hsa_miR_4740_5p"
"MIMAT0019870","hsa-miR-4740-3p;","hsa_miR_4740_3p;","hsa_miR_4740_3p","hsa_miR_4740_3p"
"MIMAT0019871","hsa-miR-4741;","hsa_miR_4741;","hsa_miR_4741","hsa_miR_4741"
"MIMAT0019872","hsa-miR-4742-5p;","hsa_miR_4742_5p;","hsa_miR_4742_5p","hsa_miR_4742_5p"
"MIMAT0019873","hsa-miR-4742-3p;","hsa_miR_4742_3p;","hsa_miR_4742_3p","hsa_miR_4742_3p"
"MIMAT0019874","hsa-miR-4743;hsa-miR-4743-5p;","hsa_miR_4743;hsa_miR_4743_5p;","hsa_miR_4743_5p","hsa_miR_4743"
"MIMAT0019875","hsa-miR-4744;","hsa_miR_4744;","hsa_miR_4744","hsa_miR_4744"
"MIMAT0019876","hsa-miR-3591-5p;hsa-miR-122b-5p;","hsa_miR_3591_5p;hsa_miR_122b_5p;","hsa_miR_122b_5p","hsa_miR_3591_5p"
"MIMAT0019877","hsa-miR-3591-3p;hsa-miR-122b-3p;","hsa_miR_3591_3p;hsa_miR_122b_3p;","hsa_miR_122b_3p","hsa_miR_3591_3p"
"MIMAT0019878","hsa-miR-4745-5p;","hsa_miR_4745_5p;","hsa_miR_4745_5p","hsa_miR_4745_5p"
"MIMAT0019879","hsa-miR-4745-3p;","hsa_miR_4745_3p;","hsa_miR_4745_3p","hsa_miR_4745_3p"
"MIMAT0019880","hsa-miR-4746-5p;","hsa_miR_4746_5p;","hsa_miR_4746_5p","hsa_miR_4746_5p"
"MIMAT0019881","hsa-miR-4746-3p;","hsa_miR_4746_3p;","hsa_miR_4746_3p","hsa_miR_4746_3p"
"MIMAT0019882","hsa-miR-4747-5p;","hsa_miR_4747_5p;","hsa_miR_4747_5p","hsa_miR_4747_5p"
"MIMAT0019883","hsa-miR-4747-3p;","hsa_miR_4747_3p;","hsa_miR_4747_3p","hsa_miR_4747_3p"
"MIMAT0019884","hsa-miR-4748;","hsa_miR_4748;","hsa_miR_4748","hsa_miR_4748"
"MIMAT0019885","hsa-miR-4749-5p;","hsa_miR_4749_5p;","hsa_miR_4749_5p","hsa_miR_4749_5p"
"MIMAT0019886","hsa-miR-4749-3p;","hsa_miR_4749_3p;","hsa_miR_4749_3p","hsa_miR_4749_3p"
"MIMAT0019887","hsa-miR-4750;hsa-miR-4750-5p;","hsa_miR_4750;hsa_miR_4750_5p;","hsa_miR_4750_5p","hsa_miR_4750"
"MIMAT0019888","hsa-miR-4751;","hsa_miR_4751;","hsa_miR_4751","hsa_miR_4751"
"MIMAT0019889","hsa-miR-4752;","hsa_miR_4752;","hsa_miR_4752","hsa_miR_4752"
"MIMAT0019890","hsa-miR-4753-5p;","hsa_miR_4753_5p;","hsa_miR_4753_5p","hsa_miR_4753_5p"
"MIMAT0019891","hsa-miR-4753-3p;","hsa_miR_4753_3p;","hsa_miR_4753_3p","hsa_miR_4753_3p"
"MIMAT0019892","hsa-miR-371b-5p;","hsa_miR_371b_5p;","hsa_miR_371b_5p","hsa_miR_371b_5p"
"MIMAT0019893","hsa-miR-371b-3p;","hsa_miR_371b_3p;","hsa_miR_371b_3p","hsa_miR_371b_3p"
"MIMAT0019894","hsa-miR-4754;","hsa_miR_4754;","hsa_miR_4754","hsa_miR_4754"
"MIMAT0019895","hsa-miR-4755-5p;","hsa_miR_4755_5p;","hsa_miR_4755_5p","hsa_miR_4755_5p"
"MIMAT0019896","hsa-miR-4755-3p;","hsa_miR_4755_3p;","hsa_miR_4755_3p","hsa_miR_4755_3p"
"MIMAT0019897","hsa-miR-499a-5p;hsa-miR-499b-5p;","hsa_miR_499a_5p;hsa_miR_499b_5p;","hsa_miR_499b_5p","hsa_miR_499a_5p"
"MIMAT0019898","hsa-miR-499a-3p;hsa-miR-499b-3p;","hsa_miR_499a_3p;hsa_miR_499b_3p;","hsa_miR_499b_3p","hsa_miR_499a_3p"
